StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6
12/2/2025 9:27,12/2/2025 9:28,IP Address,192.108.242.143,100,51,TRUE,12/2/2025 9:28,R_7tD9E4uYYCqnk0m,,,,,29.6865,-95.4337,anonymous,EN,Yes,65,71,69,43,51,95,74,86,80,91,67,76
12/2/2025 9:39,12/2/2025 9:45,IP Address,12.75.41.106,100,324,TRUE,12/2/2025 9:45,R_6t5gwMrA5YnfoD7,,,,,29.7223,-95.6285,anonymous,EN,Yes,28,10,61,100,22,0,11,11,56,100,28,0
12/2/2025 9:43,12/2/2025 9:47,IP Address,23.92.12.4,100,246,TRUE,12/2/2025 9:47,R_7fjpHIPozwMvVN7,,,,,29.7539,-95.359,anonymous,EN,Yes,60,0,0,88,4,8,0,0,0,100,0,0
12/2/2025 9:50,12/2/2025 9:55,IP Address,168.5.49.88,100,299,TRUE,12/2/2025 9:55,R_5V7mO6FpV1lMqkF,,,,,29.7228,-95.4251,anonymous,EN,Yes,10,0,15,100,3,2,3,0,15,100,1,2
12/2/2025 10:09,12/2/2025 10:10,IP Address,168.5.60.93,100,71,TRUE,12/2/2025 10:10,R_1OAFst1SfHr5qms,,,,,29.7228,-95.4251,anonymous,EN,Yes,19,32,52,100,19,16,29,40,28,99,27,28
12/2/2025 10:21,12/2/2025 10:23,IP Address,168.5.180.243,100,81,TRUE,12/2/2025 10:23,R_3aX0Fom893ChW2f,,,,,29.7545,-95.4093,anonymous,EN,Yes,20,11,22,92,25,16,3,3,1,100,1,1
12/2/2025 10:19,12/2/2025 10:26,IP Address,168.5.149.112,100,368,TRUE,12/2/2025 10:26,R_3Fm4iX5VJwwtSLp,,,,,29.7056,-95.402,anonymous,EN,Yes,18,0,0,100,8,10,19,0,0,75,31,21
12/2/2025 10:23,12/2/2025 10:26,IP Address,168.4.90.92,100,144,TRUE,12/2/2025 10:26,R_1aryVFItLpINoHy,,,,,29.7228,-95.4251,anonymous,EN,Yes,50,50,75,100,80,70,30,19,5,90,30,20
12/2/2025 10:20,12/2/2025 10:31,IP Address,168.5.164.185,100,647,TRUE,12/2/2025 10:31,R_1JKjlJwnWyuN0ZA,,,,,29.7056,-95.402,anonymous,EN,Yes,40,50,50,100,50,25,35,45,50,100,40,20
12/2/2025 13:38,12/2/2025 13:40,IP Address,168.5.55.21,100,155,TRUE,12/2/2025 13:40,R_77IPHpkpz1Ov16p,,,,,29.7228,-95.4251,anonymous,EN,Yes,10,0,0,100,10,5,20,0,5,95,10,5
12/2/2025 14:50,12/2/2025 14:55,IP Address,168.4.183.237,100,316,TRUE,12/2/2025 14:55,R_6qfb2vLsWehACjw,,,,,29.7228,-95.4251,anonymous,EN,Yes,7,1,1,84,2,7,10,2,4,87,5,6
12/2/2025 10:10,12/2/2025 15:43,IP Address,168.5.180.239,100,19985,TRUE,12/2/2025 15:43,R_7S6nUEdu7StGn73,,,,,29.7228,-95.4251,anonymous,EN,Yes,14,6,1,100,16,3,3,3,0,100,3,0
